filepath,label
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0000.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0001.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0002.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0003.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0004.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0005.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0006.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0007.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0008.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0009.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0010.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0011.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0012.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0013.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0014.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0015.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0016.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0017.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0018.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0019.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0020.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0021.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0022.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0023.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0024.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0025.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0026.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0027.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0028.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0029.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0030.png,0
C:\Users\bharath kumar\OneDrive\Documents\dl louda\src\datasets\synthetic\val\Common_Nevus\Common_Nevus_0031.png,0
